oranges | Oranges | Fareway | Navel Orange | 1.4975/lb
pepperoni | Pepperoni (sliced) | Aldi | Simms Thick Sliced Pepperoni | 0.4056/oz
pepperoni | Pepperoni (sliced) | Walmart | Great Value Original Pepperoni Slices | 0.48/oz
pepperoni | Pepperoni (sliced) | Hy-Vee | Hy-Vee Original Pepperoni | 0.6633/oz
pepperoni | Pepperoni (sliced) | Fareway | HORMEL Pepperoni Original Pepperoni | 0.9971/oz
pepperoni | Pepperoni (sliced) | Family Fare | Armour Turkey Pepperoni 4 Oz | 0.9975/oz
pickles | Pickles (dill) | Aldi | Great Gherkins Kosher Dill Spears | 0.1038/oz
pickles | Pickles (dill) | Walmart | Great Value Kosher Spears Dill Pickle Fresh Pack | 0.11/oz
pickles | Pickles (dill) | Fareway | Fareway Dill Spears Pickles | 0.1154/oz
pickles | Pickles (dill) | Hy-Vee | Hy-Vee Kosher Dill Pickle Spears | 0.1238/oz
pineapple | Pineapple (whole) | Aldi | Pineapple | 1.79/each
pineapple | Pineapple (whole) | Walmart | Fresh Pineapple | 1.98/each
pineapple | Pineapple (whole) | Baker's | Private Selection Super Sweet Gold Island Pineapple | 3.49/each
pineapple | Pineapple (whole) | Hy-Vee | Del Monte Whole Pineapple | 3.69/each
pineapple | Pineapple (whole) | Fareway | Whole Pineapple | 4.99/each
pita-bread | Pita Bread | Walmart | Toufayan Whole Wheat Pita Bread | 0.3733/each
pita-bread | Pita Bread | Fareway | Kronos 6 Inch Handmade Pita Bread | 0.798/each
pizza-sauce | Pizza Sauce | Aldi | Reggano Pizza Sauce | 0.0779/oz
pizza-sauce | Pizza Sauce | Walmart | Great Value Pizza Sauce | 0.0871/oz
pizza-sauce | Pizza Sauce | Fareway | Fareway Pizza Sauce | 0.0993/oz
pizza-sauce | Pizza Sauce | Family Fare | Pizza Sauce Our Family | 0.0993/oz
pizza-sauce | Pizza Sauce | Hy-Vee | Hy-Vee Rich & Zesty Pizza Sauce | 0.1193/oz
plastic-wrap | Plastic Wrap | Walmart | Great Value Plastic Wrap 200 Sq Ft | 2.14/each
plastic-wrap | Plastic Wrap | Fareway | Saran Cling Plus Clear Plastic Wrap | 2.68/each
plastic-wrap | Plastic Wrap | Hy-Vee | Hy-Vee Plastic Wrap | 2.99/each
plums | Plums | Aldi | Plums, Bag | 1.49/lb
plums | Plums | Walmart | Fresh Plums | 2.74/lb
plums | Plums | Baker's | Fresh Black Plum | 2.99/lb
plums | Plums | Hy-Vee | Black Plums | 2.99/lb
popsicles | Popsicles / Ice Pops | Walmart | FunPops Freeze Pops Variety Pack | 0.0547/each
popsicles | Popsicles / Ice Pops | Aldi | Bomb Pop Original Popsicles | 0.2292/each
popsicles | Popsicles / Ice Pops | Hy-Vee | Bomb Pop Original Ice Pop, 12 Pack | 0.2492/each
popsicles | Popsicles / Ice Pops | Fareway | Bomb Pop Original Ice Pops | 0.3325/each
pork-chops | Pork Chops | Family Fare | Fresh Assorted Pork Chops Value Pack | 2.49/lb
