turkey-bacon | Turkey Bacon | Walmart | Butterball Turkey Bacon Original | 0.19/oz
turkey-bacon | Turkey Bacon | Aldi | Appleton Farms Uncured Turkey Bacon | 0.325/oz
turkey-bacon | Turkey Bacon | Hy-Vee | Butterball Everyday Original Turkey Bacon | 0.3325/oz
turkey-bacon | Turkey Bacon | Family Fare | Jennie O Turkey Bacon 12 Oz | 0.3325/oz
turkey-bacon | Turkey Bacon | Fareway | Oscar Mayer Gluten Free Fully Cooked Turkey Bacon with 55% Less Fat & 44% Less Sodium | 0.4158/oz
vanilla-extract | Vanilla Extract | Aldi | Stonemill Pure Vanilla Extract | 1.745/floz
vanilla-extract | Vanilla Extract | Walmart | Great Value Pure Vanilla Extract | 3.24/floz
vanilla-extract | Vanilla Extract | Fareway | McCormick Pure Vanilla Extract | 4.49/floz
vanilla-extract | Vanilla Extract | Hy-Vee | McCormick Pure Vanilla Extract | 4.88/floz
vegetable-oil | Vegetable / Canola Oil | Walmart | Great Value Vegetable Oil 1 Gallon | 0.0683/floz
vegetable-oil | Vegetable / Canola Oil | Aldi | Carlini Vegetable Oil | 0.074/floz
vegetable-oil | Vegetable / Canola Oil | Baker's | Kroger 100% Pure Vegetable Oil | 0.0741/floz
vegetable-oil | Vegetable / Canola Oil | Fareway | Fareway Vegetable Oil | 0.0831/floz
vegetable-oil | Vegetable / Canola Oil | Hy-Vee | Hy-Vee Vegetable Oil | 0.0933/floz
vegetable-oil | Vegetable / Canola Oil | Family Fare | Our Family Vegetable Oil 100% Pure | 0.1248/floz
whipped-cream | Whipped Cream / Topping | Walmart | Great Value Original Dairy Whipped Topping | 0.1969/oz
whipped-cream | Whipped Cream / Topping | Fareway | Fareway Original Whipped Topping | 0.2212/oz
whipped-cream | Whipped Cream / Topping | Hy-Vee | Hy-Vee Whipped Topping | 0.235/oz
rice | White Rice | Walmart | Great Value Long Grain Enriched Rice 5-Pound Bag | 0.674/lb
rice | White Rice | Baker's | Kroger Long Grain Rice | 0.758/lb
rice | White Rice | Fareway | ParExcellence Premium Long Grain Rice | 0.799/lb
rice | White Rice | Aldi | Earthly Grains Long Grain White Rice | 0.8833/lb
rice | White Rice | Hy-Vee | Hy-Vee Enriched Long Grain White Rice | 0.938/lb
rice | White Rice | Family Fare | Enriched Long Grain White Rice | 1.19/lb
white-vinegar | White Vinegar (distilled) | Family Fare | Our Family White Vinegar | 0.0335/floz
white-vinegar | White Vinegar (distilled) | Fareway | Fareway White Distilled Vinegar 128 fl oz | 0.039/floz
white-vinegar | White Vinegar (distilled) | Sam's Club | Member's Mark Distilled White Vinegar, 1 gal., 2 pk. | 0.0467/floz
white-vinegar | White Vinegar (distilled) | Aldi | Tuscan Garden Distilled White Vinegar | 0.0497/floz
white-vinegar | White Vinegar (distilled) | Baker's | Kroger Distilled White Vinegar 64 fl oz | 0.0514/floz
white-vinegar | White Vinegar (distilled) | Walmart | Great Value Distilled White Vinegar, 32 fl oz | 0.055/floz
white-vinegar | White Vinegar (distilled) | Hy-Vee | Hy-Vee White Distilled Vinegar | 0.0809/floz
whole-chicken | Whole Chicken | Walmart | Tyson All Natural Fresh Premium Young Whole Chicken | 1.46/lb
whole-chicken | Whole Chicken | Baker's | Heritage Farm Bone In Skin On Whole Young Chicken | 1.49/lb
whole-chicken | Whole Chicken | Family Fare | Our Family Fresh Whole Chicken | 1.79/lb
whole-chicken | Whole Chicken | Aldi | Perdue Reserve Whole Young Chicken | 1.8107/lb
whole-chicken | Whole Chicken | Hy-Vee | Hy-Vee Fresh Young Whole Chicken | 1.88/lb
whole-chicken | Whole Chicken | Fareway | Whole Chicken | 2.49/lb
watermelon | Whole Watermelon | Aldi | Seedless Watermelon, Each | 4.65/each
watermelon | Whole Watermelon | Walmart | Fresh Seedless Watermelon | 4.65/each
watermelon | Whole Watermelon | Family Fare | Watermelon Mini Seedless | 5.99/each
watermelon | Whole Watermelon | Fareway | Seedless Watermelon | 5.99/each
watermelon | Whole Watermelon | Baker's | Seedless Whole Watermelon | 5.99/each
watermelon | Whole Watermelon | Hy-Vee | Whole Seedless Watermelon | 6.99/each
worcestershire | Worcestershire Sauce | Walmart | Great Value Worcestershire Sauce | 0.1/floz
worcestershire | Worcestershire Sauce | Hy-Vee | That's Smart Worcestershire Sauce | 0.1/floz
worcestershire | Worcestershire Sauce | Fareway | Fareway Classic Worcestershire Sauce | 0.199/floz
yeast | Yeast (baking) | Aldi | Baker's Corner Active Dry Yeast | 1.4533/oz
yeast | Yeast (baking) | Walmart | Great Value Active Dry Yeast 3 Count | 1.52/oz
yeast | Yeast (baking) | Fareway | Red Star Active Dry Yeast, All-Natural | 7.96/oz
onions | Yellow / Sweet Onions | Hy-Vee | Yellow Onions 3-Pound Bag | 0.83/lb
onions | Yellow / Sweet Onions | Family Fare | Our Family Medium Yellow Onion | 0.9967/lb
