0002446306116,5.99,,0.21,oz,1
0001111013674,3.29,,0.12,ea,0
0003338320027,2.99,,,,0
0001111011888,3.29,,0.05,oz,0
0001340951741,3.79,,0.2,oz,0
0001111014734,2.69,,0.11,fl oz,0
0001111085196,2.29,,0.23,fl oz,0
0000000004590,0.4,0.6,,,0
0001111022299,3.99,,,,0
0001111050505,3.99,,0.33,oz,0
0001111013963,0.5,,0.5,oz,1
0001111012708,7.29,,0.46,oz,0
0001111008998,1.99,,0.2,fl oz,0
0001111086003,10,,5,lb,1
0001111068394,3.29,,1.55,oz,0
0001111010491,6.99,,0.02,sq ft,1
0000000004801,0.27,,2.99,lb,0
0000000004087,0.36,,1.49,lb,1
0001111011968,1.59,,0.13,oz,0
0001111011972,1,,0.07,oz,1
0001111010996,1.79,1.99,0.14,oz,0
0001111013951,2.29,,0.1,oz,1
0001111013410,1.99,,0.08,oz,0
0001111003052,17.99,,0.15,ea,0
0001111099377,3.29,,0.66,oz,1
0001111085606,9.49,,0.07,fl oz,0
0001111091008,6,,,,1
0001111011200,1.79,,0.06,fl oz,1
0007040400149,2.69,2.99,0.17,fl oz,0
0001111071928,2.19,,0.15,fl oz,0
0001111049198,1,,0.01,fl oz,1
0000000004067,0.9,,1.79,lb,0
