gelatin | Gelatin (Jell-O) | Fareway | Fareway Orange Gelatin Dessert | 0.99/each
fresh-ginger | Ginger Root | Walmart | Fresh Ginger Root | 3.97/lb
fresh-ginger | Ginger Root | Aldi | Ginger Root, 8 oz | 3.98/lb
fresh-ginger | Ginger Root | Fareway | Ginger Root | 3.99/lb
fresh-ginger | Ginger Root | Baker's | Organic Ginger Root | 3.99/lb
fresh-ginger | Ginger Root | Hy-Vee | Melissa Ginger Root | 5.99/lb
glass-cleaner | Glass Cleaner | Walmart | Great Value Glass Cleaner | 0.0544/floz
glass-cleaner | Glass Cleaner | Hy-Vee | Hy-Vee Glass Cleaner with Ammonia | 0.0747/floz
glass-cleaner | Glass Cleaner | Fareway | Bright Essentials Glass Cleaner, Streak Free, Scent Free | 0.0919/floz
graham-crackers | Graham Crackers | Aldi | Benton's Graham Crackers | 0.1382/oz
graham-crackers | Graham Crackers | Hy-Vee | That's Smart! honey graham crackers, 14.4 oz., $1.99 | 0.1382/oz
graham-crackers | Graham Crackers | Fareway | Fareway Honey Graham Crackers | 0.2076/oz
graham-crackers | Graham Crackers | Walmart | Honey Maid Honey Graham Crackers | 0.2757/oz
granola | Granola | Hy-Vee | Quaker simply or protein granola cereal, 18 or 24.1 oz., $4.99 | 0.2071/oz
granola | Granola | Fareway | Fareway Classic Granola | 0.2129/oz
granola | Granola | Aldi | Millville Oats and Honey Granola | 0.2321/oz
granola | Granola | Walmart | Great Value Oats & Honey Granola | 0.2427/oz
granola-bars | Granola Bars | Aldi | Millville Chocolate Chip Chewy Granola Bars | 0.175/each
granola-bars | Granola Bars | Walmart | Great Value Chewy Granola Bars Variety Pack | 0.1842/each
granola-bars | Granola Bars | Fareway | Quaker Granola Bars, Chocolate Chip | 0.3738/each
granola-bars | Granola Bars | Hy-Vee | Quaker Chewy Chocolate Chip Granola Bars 8-0.84 oz Bars | 0.435/each
sugar | Granulated Sugar | Aldi | Baker's Corner Granulated Sugar | 0.7225/lb
sugar | Granulated Sugar | Hy-Vee | That's Smart! Granulated Sugar | 0.78/lb
sugar | Granulated Sugar | Fareway | Corner Store Sugar, Granulated | 0.81/lb
sugar | Granulated Sugar | Walmart | Great Value Pure Granulated Sugar 4-Pound Bag | 0.8175/lb
sugar | Granulated Sugar | Baker's | Smart Way Granulated Sugar | 0.8225/lb
grape-juice | Grape Juice | Aldi | Nature's Nectar 100% Grape Juice | 0.0461/floz
grape-juice | Grape Juice | Walmart | Great Value 100% Concord Grape Juice | 0.0591/floz
grape-juice | Grape Juice | Fareway | Old Orchard 100% Juice, Grape | 0.0622/floz
grape-juice | Grape Juice | Family Fare | Our Family Grape Juice 64 Fl Oz | 0.0623/floz
grape-juice | Grape Juice | Hy-Vee | Hy-Vee 100% Concord Grape Juice, No Sugar Added | 0.067/floz
grapefruit | Grapefruit | Walmart | Fresh Grapefruit | 1.36/each
grapefruit | Grapefruit | Baker's | Fresh Large Ruby Red Grapefruit | 1.5/each
grapefruit | Grapefruit | Fareway | Red Grapefruit | 1.69/each
grapes | Grapes | Aldi | Red Grapes, per lb | 1.69/lb
grapes | Grapes | Walmart | Fresh Red Seedless Grapes | 1.87/lb
grapes | Grapes | Hy-Vee | Red seedless grapes, from California, $1.88 lb. | 1.88/lb
grapes | Grapes | Baker's | Kroger Fresh California Seedless Red Grapes (3 lb) | 2.33/lb
grapes | Grapes | Fareway | Combo Red & Green Seedless Grapes | 2.88/lb
grapes | Grapes | Family Fare | Red Seedless Grapes | 2.99/lb
fresh-green-beans | Green Beans (fresh) | Walmart | Fresh Green Beans | 1.78/lb
fresh-green-beans | Green Beans (fresh) | Baker's | Fresh Green Beans | 2.19/lb
fresh-green-beans | Green Beans (fresh) | Hy-Vee | Fresh Green Beans | 2.99/lb
fresh-green-beans | Green Beans (fresh) | Aldi | French Green Beans, Package | 2.99/lb
fresh-green-beans | Green Beans (fresh) | Fareway | Pero Family Farms Fresh Snipped Green Beans | 3.9867/lb
green-onions | Green Onions (bunch) | Fareway | Green Onions (Scallions) | 0.99/each
green-onions | Green Onions (bunch) | Walmart | Fresh Whole Green Onion Bunch | 1.07/each
green-onions | Green Onions (bunch) | Baker's | Green Onions | 1.19/each
green-onions | Green Onions (bunch) | Hy-Vee | Green Onions (Scallions) | 1.5/each
ground-cinnamon | Ground Cinnamon | Family Fare | That's Smart! Ground Cinnamon 2.5 Oz | 0.272/oz
ground-cinnamon | Ground Cinnamon | Aldi | Stonemill Ground Cinnamon | 0.4177/oz
ground-cinnamon | Ground Cinnamon | Sam's Club | Member's Mark Ground Cinnamon | 0.4433/oz
ground-cinnamon | Ground Cinnamon | Hy-Vee | That's Smart Ground Cinnamon | 0.5/oz
ground-cinnamon | Ground Cinnamon | Walmart | Great Value Ground Cinnamon, 2.5 oz | 0.508/oz
ground-cinnamon | Ground Cinnamon | Baker's | Smart Wayâ„¢ Ground Cinnamon | 0.6443/oz
ground-cinnamon | Ground Cinnamon | Fareway | McCormick Ground Cinnamon 4.12 oz | 1.2112/oz
ground-cumin | Ground Cumin | Aldi | Stonemill Ground Cumin 2 oz | 0.495/oz
ground-cumin | Ground Cumin | Walmart | Great Value Ground Cumin, 2.5 oz | 0.548/oz
ground-cumin | Ground Cumin | Sam's Club | Member's Mark Ground Cumin, 16 oz. | 0.5612/oz
ground-cumin | Ground Cumin | Family Fare | Sugar 'N Spice Cumin Ground Pp | 1.145/oz
ground-cumin | Ground Cumin | Fareway | Badia Spices Cumin, Ground 2 oz | 1.245/oz
ground-cumin | Ground Cumin | Hy-Vee | Lawry's Ground Cumin, 2 oz | 1.245/oz
ground-cumin | Ground Cumin | Baker's | Lawry's Ground Cumin | 1.495/oz
ground-pork | Ground Pork | Baker's | Ground Pork | 2.99/lb
