mouthwash | Mouthwash | Fareway | GoodSense Mouth Rinse, Antiseptic, Spring Mint | 0.1175/floz
mouthwash | Mouthwash | Aldi | Crest Outlast Anticavity Fluoride Mouthwash | 0.147/floz
mouthwash | Mouthwash | Hy-Vee | Hy-Vee Antiseptic Mouthwash, Blue Mint | 0.1769/floz
muffins | Muffins (bakery) | Fareway | Otis Spunkmeyer Muffin, Wild Blueberry | 0.99/each
muffins | Muffins (bakery) | Walmart | Marketside Baked Blueberry Muffins | 0.995/each
muffins | Muffins (bakery) | Hy-Vee | Blueberry Muffins 4 Ct | 1.2475/each
muffins | Muffins (bakery) | Family Fare | 4 Ct Blueberry Muffins | 1.4975/each
mushrooms | Mushrooms (white / baby bella) | Aldi | White Mushrooms, Package | 0.1862/oz
mushrooms | Mushrooms (white / baby bella) | Walmart | Fresh Whole White Mushrooms | 0.2356/oz
mushrooms | Mushrooms (white / baby bella) | Fareway | Highline Sliced White Mushrooms | 0.2488/oz
mushrooms | Mushrooms (white / baby bella) | Family Fare | Our Family Mushrooms, White, Whole 8 Oz | 0.2488/oz
mushrooms | Mushrooms (white / baby bella) | Hy-Vee | Highline Whole White Mushrooms | 0.2488/oz
mushrooms | Mushrooms (white / baby bella) | Baker's | Kroger Whole White Mushrooms | 0.2988/oz
oat-milk | Oat Milk | Aldi | Friendly Farms Original Oatmilk | 0.0545/floz
oat-milk | Oat Milk | Walmart | Planet Oat Original Oatmilk | 0.065/floz
oat-milk | Oat Milk | Fareway | Planet Oat Oatmilk | 0.0669/floz
oat-milk | Oat Milk | Hy-Vee | Planet Oat Original Oatmilk, 52 oz | 0.0767/floz
oatmeal | Oats / Oatmeal | Aldi | Millville Old Fashioned Oats | 0.095/oz
oatmeal | Oats / Oatmeal | Baker's | Kroger 100% Whole Grain Old Fashioned Oats | 0.095/oz
oatmeal | Oats / Oatmeal | Walmart | Great Value 100% Whole Grain Old Fashioned Oats | 0.0995/oz
oatmeal | Oats / Oatmeal | Hy-Vee | Hy-Vee Oatmeal Old Fashioned Oats | 0.1021/oz
oatmeal | Oats / Oatmeal | Fareway | Ralston Foods Oats, Quick | 0.1331/oz
oatmeal | Oats / Oatmeal | Family Fare | Old Fashioned Oats, Whole Grain Our Family | 0.1661/oz
olive-oil | Olive Oil | Baker's | Kroger Extra Virgin Olive Oil | 0.2756/floz
olive-oil | Olive Oil | Fareway | Fareway Extra Virgin Olive Oil | 0.2956/floz
olive-oil | Olive Oil | Walmart | Great Value Extra Virgin Olive Oil | 0.3276/floz
olive-oil | Olive Oil | Aldi | Priano Extra Virgin Olive Oil | 0.3426/floz
olive-oil | Olive Oil | Hy-Vee | Gustare Vita Classic Olive Oil | 0.3524/floz
olive-oil | Olive Oil | Family Fare | Alessi Tomatoes, Sun Dried, In Extra Virgin Olive Oil 7 Oz | 0.7557/floz
onion-powder | Onion Powder | Walmart | Great Value Onion Powder, 3.25 oz | 0.3323/oz
onion-powder | Onion Powder | Aldi | Stonemill Onion Powder 2.62 oz | 0.3779/oz
onion-powder | Onion Powder | Fareway | Badia Spices Onion Powder 9.5 oz | 0.42/oz
onion-powder | Onion Powder | Sam's Club | Member's Mark Onion Powder, 21 oz. | 0.4276/oz
onion-powder | Onion Powder | Hy-Vee | That's Smart Onion Powder 2.25 oz | 0.5556/oz
onion-powder | Onion Powder | Baker's | Smart Way Onion Powder | 0.7143/oz
onion-powder | Onion Powder | Family Fare | That's Smart! Onion Powder | 0.7511/oz
