  2  Salsa | cup
  1  Salsa Verde | cup
  2  Salt | OTHER:to taste
  2  Salt | tbsp
 45  Salt | tsp
  1  Seasoned Black Beans | can
  1  Seasoned Black Beans | cup
  1  Seasoned Black Beans | oz
  2  Sesame Oil | tbsp
  1  Sesame Oil | tsp
  1  Smoked Paprika | tbsp
  3  Smoked Paprika | tsp
  2  Smoked Turkey Sausage | lb
  4  Soy Sauce | cup
 16  Soy Sauce | tbsp
  2  Soy Sauce | tsp
  1  Spaghetti | cup
  1  Spaghetti | g
  3  Spaghetti | oz
  3  Sriracha | tbsp
  1  Sriracha | tsp
  1  Sugar | cup
  5  Sugar | tbsp
 10  Sugar | tsp
  1  Sugar-Free Maple Syrup | cup
  1  Sun-Dried Tomatoes | cup
  1  Sun-Dried Tomatoes | OTHER:to taste
  1  Sweet Potatoes | each
  1  Sweet Whole Kernel Corn | cup
  1  Sweet Whole Kernel Corn | each
  1  Sweet Whole Kernel Corn | oz
  2  Taco Seasoning | pkg
  4  Taco Seasoning | tbsp
  1  Taco Seasoning | tsp
  2  Tahini | cup
  1  Toasted Sesame Seeds | OTHER:to garnish
  1  Toasted Sesame Seeds | OTHER:to taste
  2  Toasted Sesame Seeds | tbsp
  1  Tomatillos | lb
  1  Tomato Paste | cup
 13  Tomato Paste | tbsp
  2  Tomato Sauce | cup
  5  Tomato Sauce | oz
  6  Vegetable Oil | cup
  2  Vegetable Oil | OTHER:as needed
 25  Vegetable Oil | tbsp
  1  Walnuts | cup
  2  White Mushrooms | lb
  6  White Mushrooms | oz
  2  White Vinegar | cup
  1  White Vinegar | tbsp
  3  Worcestershire Sauce | tbsp
  5  Worcestershire Sauce | tsp
  7  Yellow Onion | cup
 36  Yellow Onion | each
  4  Yellow Onion | g
  8  Yellow Onion | OTHER:1/2
  4  Yellow Onion | oz
  1  Yellow Onion | tbsp
  2  Ziti Pasta | lb
  1  Ziti Pasta | oz
  3  Zucchini | each
